,req,label,v6,Unnamed: 3,v5.2,dominio,ano,titulo,link,slide,obs,obs v6
20,"When two aircraft are on a collision course, TCAS must always provide an RA to avoid the collision.",constraint,mitigate,,constraint1,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,,
21,TCAS must not provide RAs that degrade vertical separation.,constraint,prevent,,constraint1,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,,
22,TCAS must always provide an RA in time to prevent an NMAC.,constraint,prevent,,constraint1,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,,
23,The pilot must always follow the RA provided by TCAS.,constraint,prevent,,constraint1,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,42,,
24,The system must not disrupt the pilot and ATC operations during critical phases of flight nor disrupt aircraft operation.,constraint,prevent,,constraint1,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,43,,
25,The pilot of a TCAS-equipped aircraft must have the option to switch to the Traffic-Advisory mode where traffic advisories are displayed but display of resolution advisories is prohibited.,constraint,prevent,,constraint1,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,43,,
29,Doors must not be opened until train is stopped and aligned with platform.,constraint,prevent,,constraint1,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,,
30,Doors must not be closed if someone is in the doorway.,constraint,prevent,,constraint1,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,,
31,"If a person is detected in doorway during door closing, door closing must be stopped and reversed.",constraint,mitigate,,constraint2,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,,
32,Train must not move with doors open.,constraint,prevent,,constraint1,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,49,,
38,The flight crew must not execute the ITP when it has not been approved by ATC.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
39,The flight crew must not execute an ITP when the ITP criteria are not satisfied.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
40,"The flight crew must execute the ITP with correct climb rate, flight levels, Mach number, and other associated performance criteria.",constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
41,The flight crew must not continue the ITP maneuver when it would be dangerous to do so.,constraint,prevent,,constraint1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,82,,
