,req,label,v6,Unnamed: 3,v5.2,dominio,ano,titulo,link,slide,obs,obs v6
10,Contamination of Outer Planet Moon with biological agents of Earth origin on mission hardware.,hazard,hazard,reescrever,hazard2,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20,mission hardware contaminated with organisms from earth,
11,"Exposure of Earth life or human assets on Earth to toxic, radioactive, or energetic elements of mission hardware.",hazard,hazard,,hazard2,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20,,
12,"Exposure of Earth life or human assets off Earth to toxic, radioactive, or energetic elements of mission hardware.",hazard,hazard,,hazard2,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,20,,
16,Pilot loses control of aircraft.,hazard,hazard,ambiguo,exhazard,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,"embora tenha palavra loss, a sentença se torna uma condição.",
17,Interference with other safety-related aircraft systems.,hazard,hazard,,hazard2,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,,
18,Interference with the ground-based ATC system.,hazard,hazard,,hazard2,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,,
19,Interference with ATC safety-related advisory.,hazard,hazard,,hazard2,aerospace,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,21,,
26,Doors open while train is in motion or not aligned with station platform.,hazard,hazard,,hazard2,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,44,,
27,Door closes on a person.,hazard,hazard,,hazard6,train,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,44,sistema = door,
33,A pair of controlled aircraft violates minimum separation standards.,hazard,hazard,,hazard1,aviation,2012,STPA and CAST Tutorial,http://psas.scripts.mit.edu/home/get_pdf.php?name=1-2-Beginners-Tutorial-part2.pdf,77,,
